entry,format,width,height,mips,flags,kv3_version_hex,bytes
materials/blends/blend_metal_stainless_01_vmat_g_tcolor_db9bca9e.vtex_c,BC7,4,4,1,0,0x00000001,1984
materials/blends/blend_metal_white_01_vmat_g_tcolor_15a7806.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_metal_yellow_01_vmat_g_tcolor_b35e8d08.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_metal_yellow_01_vmat_g_tnormalroughness_e3b06ad9.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/blend_metal_yellow_02_vmat_g_tambientocclusion_9782fd5c.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_metal_yellow_02_vmat_g_tnormalroughness_2984f4a9.vtex_c,BC7,4,4,1,0,0x00000001,2112
materials/blends/blend_metal_yellow_02_vmat_g_ttintmask_2b2ebb3f.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_mountains_01_vmat_g_tambientocclusion_9782fd5c.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_mountains_01_vmat_g_tnormalroughness_2984f4a9.vtex_c,BC7,4,4,1,0,0x00000001,2112
materials/blends/blend_mountains_01_vmat_g_ttintmask_2b2ebb3f.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_mountains_snow_01_vmat_g_tambientocclusion_9782fd5c.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_mountains_snow_01_vmat_g_tnormalroughness_2984f4a9.vtex_c,BC7,4,4,1,0,0x00000001,2112
materials/blends/blend_mountains_snow_01_vmat_g_ttintmask_2b2ebb3f.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_purple_01_vmat_g_tcolor_1b265be6.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_purple_01_vmat_g_tnormalroughness_78dc195a.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/blend_red_dark_01_vmat_g_tcolor_6ed4a236.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_red_dark_01_vmat_g_tnormalroughness_78dc195a.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/blend_retaining_wall_01_vmat_g_tcolor_f66bbaa1.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_shapemodel_01_vmat_g_tambientocclusion_9782fd5c.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_shapemodel_01_vmat_g_tnormalroughness_2984f4a9.vtex_c,BC7,4,4,1,0,0x00000001,2112
materials/blends/blend_shapemodel_01_vmat_g_ttintmask_2b2ebb3f.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_street_01_vmat_g_tambientocclusion_9782fd5c.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_street_01_vmat_g_tnormalroughness_2984f4a9.vtex_c,BC7,4,4,1,0,0x00000001,2112
materials/blends/blend_street_01_vmat_g_ttintmask_2b2ebb3f.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_wall_concrete_01_vmat_g_tcolor_e7d7abcf.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_wall_green_dark_01_vmat_g_tcolor_19b82aa1.vtex_c,BC7,4,4,1,0,0x00000001,2192
